"id","text","created_at","did_report_as_spam","owner.id","owner.is_verified","owner.profile_pic_url","owner.username","likes","comments"
"17871919438762371","Información sobre esta inversión",1592001850,false,"20419608552",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/80818877_587778365347216_5474514737393827840_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=zEH15aYASFAAX94FQqd&oh=9097f575f8ef41bcb127f27e2ef194c5&oe=5FB46D25","angeltsuki_",0,0
"17852463704080149","Hay que abrir cuenta de ahorros y tener unoa montos para que no cobren cuota de manejo y 4x mil",1592004619,false,"1534081020",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/104093619_710885303001515_2701729819646554967_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=wuxBwfrmaC4AX-sEiyh&oh=7a782fe740634ffb037f49340b51c7c5&oe=5FB3BD4E","linammvalencia",1,0
"18091043692170544","Sirve para el que tenga cuenta de nomina en esta entidad",1592004647,false,"1534081020",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/104093619_710885303001515_2701729819646554967_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=wuxBwfrmaC4AX-sEiyh&oh=7a782fe740634ffb037f49340b51c7c5&oe=5FB3BD4E","linammvalencia",2,0
"18119119840112979","Buenas noches me podrian dar mas informacion por favor",1592011266,false,"1627249893",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/17077522_341538702907588_514711586582036480_a.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=NqYV4rQoiiYAX8zq11o&oh=7153670063582ad1860f49f47de4f98f&oe=5FB5AF7C","louisphillipace",2,0
"17886284128587582","Es falso, en marzo con la caída de la bolsa antes me quitaron dinero de mi capital",1592020544,false,"7709985435",false,"https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=MVEG8QTyVK4AX_Ivnqd&oh=5061fa6ed07d7c85ec36a2bd9ca6c128&oe=5FB5D50F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2","juliher2018",2,2
"17880397009652559","????",1592044016,false,"10258451233",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/119186970_3610397632305949_1960658893955193148_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=dEhjpdA2dSMAX_zbq8O&oh=ddc287e93d963279ea22d3fded9bd288&oe=5FB4E19C","helena.perez.528",1,0
"17850634253098206","Invertí  40.000 y luego sólo me devolvieron 30.000, me tienen amarrados 10.000, no he podido recuperar los desde la APP",1592079327,false,"3092691268",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/99057080_245687856866811_1538707733560164352_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=YuK2ojC1npEAX91SLvz&oh=ccc534a6617d00994402dde694da1156&oe=5FB43931","johandukeleon",1,0
"17859642328977336","La peor experiencia comercial a nivel banco la he tenido con esta entidad.",1592096352,false,"2391786771",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/49984377_2133085483444158_2466675300927275008_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=Ghm1MK8p9YEAX_2rfL-&oh=7fdf4382bfe8f70f4ba010e949f78b04&oe=5FB50C92","brunaldiana",1,0
"17906026684467165","Ese interes es menis del 1 por ciento mensual y lo que le quitan por manejo y 4 x 1000 es nada antes uno queda debiendo",1592128080,false,"1902880473",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/95376569_1539339049564556_2269438840642994176_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=f0gjW-fbZ2AAX_dIq72&oh=aa123f60f21b7fe2c5a303153b96eaf6&oe=5FB2A68C","ubicanos_",1,0
"17883816250609718","Los bancos en este pais y mas españoles  no dan nada juegan invierten  con nuestro dinero no dan migajas y luego en loa cobros  por manatímiento o uso de la cuenta  te quian lo q te dieron  mas lo q haz ahorrado.. no caigan en este sistema  malicioso..",1592161535,false,"868120256",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121293354_820154845402461_4753982784038483583_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=f2LYolPevdIAX8QJkvv&oh=cd9a9908154f70a979d2e09bc13bb3ec&oe=5FB2FEC9","harevalo24",2,5
"17904457660463023","Me podrían dar ma información gracias",1592161862,false,"31265147533",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/116707413_291280975477377_3346082444188797120_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=zvapRy2LkSYAX_92oSH&oh=03575039c738761a8ca82b1504d3983e&oe=5FB4AD7B","deprohogarsas",0,0
"17878870870664044","Porque ponen tasa mensual pero la que reflejan en efectiva anual, para engañar a las personas😮",1592166171,false,"1914501741",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/120533883_770499150469684_489402108062216914_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=i97ZuPNULngAX_p4s13&oh=df94f36a7182dc2d094d22fcfc981277&oe=5FB59CA7","michael_guevara17",2,2
"17920061860420232","Jajaja por 20 mil te daran 200 pesos mensuales, los bancos son ironicos, si tu metes una fuerte cantidad de dinero en un cdt o en un fondo lo que ganas no es nada, pero si ellos te prestan a ti ahi si ganan como un berraco",1592185531,false,"6712394725",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/44585916_1904634339584520_2279832227707617280_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=SbwSsUC_geUAX-6yWH9&oh=09e9fd2867d5ccc2a31afd3a9e0764ae&oe=5FB465BD","jorgitoeliecer.osorioalvarez",1,0
"18092856193196900","@andrescorredor77",1592204914,false,"385637593",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121091518_782271789274552_2486217721187901157_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=J2CFILobB50AX_ndl-z&oh=899784a24d3ccf80f50d8f1c6139baef&oe=5FB3B83C","pilarrojasy",0,0
"17865539569855235","Pero si para abrirlo tengo que tener cuenta con la entidad, me cobran cuota de manejo y hasta 4x1000 por el retiro. La ganancia no compensa todo lo que debo pagar",1592227832,false,"1258799493",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/89738653_199289954660988_7953702012493758464_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=jZnRHSaa33AAX_oYZ1x&oh=fd155833abb19670edcc1d350e8374aa&oe=5FB39BF4","miguelcaramir",1,0
"17857068944020852","Buenas noches por favor me puede dar más información, gracias",1592263653,false,"8587683671",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/65830198_354665948544292_8733991677758275584_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=Wa92TtDwtSkAX-Uly2e&oh=8c0c4b2d9b9fbe73f749a63996fb00da&oe=5FB453BA","ninirocioa",0,0
"17885357548599128","Jajaja qué irónica tan grande! La ley del embudo.",1592269094,false,"12155808870",false,"https://instagram.fmex16-1.fna.fbcdn.net/v/t51.2885-19/s150x150/54511864_2222180141432489_5131367625200238592_n.jpg?_nc_ht=instagram.fmex16-1.fna.fbcdn.net&_nc_ohc=Ne2NU73nTzEAX-vjYPl&oh=07d1ed29b8d43834c3d8ff75069f6f1e&oe=5FB42739","mauricewar13",0,0
